KazaName,kazcode,Sanjak,sancode,Vilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,SanjakCenter
Beypazarı Kaza,6-1-4,Ankara,6-1,Ankara,6,8327.0,7924.0,,,,,,,,,,,,,,,,,,,,,16251.0,0,0,0,0.0,0.0,0.0,0.0,8237.0,7924.0,16251.0,1881 Census,0
Çubuk Kaza,6-1-5,Ankara,6-1,Ankara,6,9236.0,8518.0,,,,,,,,,,,,,,,,,,,,,17754.0,0,0,0,0.0,0.0,0.0,0.0,9236.0,8518.0,17754.0,1881 Census,0
Haymana Kaza,6-1-6,Ankara,6-1,Ankara,6,11945.0,13383.0,11.0,12.0,2.0,3.0,,,,,,,,,,,,,,,,,25328.0,28,28,5,0.0011054958938723942,0.00019740998104864183,0.0001971919861176842,0.0011042751222590313,11958.0,13398.0,25356.0,1881 Census,0
Kalecik Kaza,6-1-7,Ankara,6-1,Ankara,6,17226.0,17550.0,,,227.0,252.0,,,,,,,,,,,,,,,,,34776.0,479,479,479,0.0137738670347366,0.0137738670347366,0.013585569232514607,0.013585569232514607,317453.0,17805.0,35258.0,1881 Census,0
Kuyucak Kaza,6-1-8,Ankara,6-1,Ankara,6,9340.0,9189.0,,,,,,,,,,,,,,,,,,,,,18529.0,0,0,0,0.0,0.0,0.0,0.0,9340.0,9189.0,18529.0,1881 Census,0
Nallihan Kaza,6-1-9,Ankara,6-1,Ankara,6,7516.0,7354.0,,,403.0,424.0,,,,,,,,,,,,,,,,,14870.0,827,827,827,0.055615332885003366,0.055615332885003366,0.052685226476396764,0.052685226476396764,7919.0,7778.0,15697.0,1881 Census,0
Sivrihisar Kaza,6-1-10,Ankara,6-1,Ankara,6,14048.0,12284.0,,,1848.0,1803.0,,,,,,,,,,,,,,,,,26332.0,3651,3651,3651,0.13865259000455718,0.13865259000455718,0.121769002434713,0.121769002434713,15896.0,14087.0,29983.0,1881 Census,0
Yabanabat Kaza,6-1-11,Ankara,6-1,Ankara,6,22643.0,22302.0,,,,,,,,,,,,,,,,,,,,,44945.0,0,0,0,0.0,0.0,0.0,0.0,22643.0,22302.0,44945.0,1881 Census,0
Zir Kaza,6-1-12,Ankara,6-1,Ankara,6,7310.0,7014.0,,,1118.0,1096.0,,,,,,,,,,,,,,,,,14324.0,2214,2214,2214,0.15456576375314157,0.15456576375314157,0.13198998449982116,0.13198998449982116,8537.0,8237.0,16774.0,1881 Census,0
Develi Kaza,6-2-1,Kayseri,6-2,Ankara,6,10746.0,11032.0,886.0,935.0,5241.0,5605.0,,,,,,,120.0,118.0,,,,,,,,,21778.0,12905,12905,10846,0.5925704839746533,0.4980255303517311,0.31271804630510625,0.3720843064325462,16993.0,17690.0,34683.0,1881 Census,0
İncesu Kaza,6-2-2,Kayseri,6-2,Ankara,6,6575.0,6841.0,2356.0,2312.0,,23.0,,,,,,,,,,,,,,,,,13416.0,4691,4691,23,0.34965712581991654,0.001714370900417412,0.0012702269840393218,0.259071077483846,8931.0,9176.0,18107.0,1881 Census,0
Kayseri Central Kaza,6-2-3,Kayseri,6-2,Ankara,6,42140.0,43023.0,9196.0,9210.0,12178.0,12772.0,,,380.0,335.0,,,664.0,651.0,,,,,,,,,85163.0,45386,45386,24950,0.532930967673755,0.2929676033019034,0.1911159794406698,0.3476549035228152,64558.0,65991.0,130549.0,1881 Census,1
Avanos Kaza,6-4-1,Kirşehir,6-4,Ankara,6,8357.0,9613.0,,,241.0,151.0,,,,,,,,,,,,,,,,,17970.0,392,392,392,0.0218141346688926,0.0218141346688926,0.021348436989434703,0.021348436989434703,8598.0,9764.0,18362.0,1881 Census,0
Ciçekdağo (Mecidiye) Kaza,6-4-2,Kirşehir,6-4,Ankara,6,5055.0,5745.0,,,,,,,,,,,,,,,,,,,,,10800.0,0,0,0,0.0,0.0,0.0,0.0,5055.0,5745.0,10800.0,1881 Census,0
