NameofKaza,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,CentralKazaDummy,AP,FID,Id,Vilayet,Sanjak,kaza,_merge
Söğüt Kaza,16-2-3,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,19167.0,19308.0,767.0,775.0,1779.0,2183.0,,,15.0,26.0,,,,,,,,,,,,,38475.0,5545.0,5545.0,3962.0,0.1441195582,0.1029759584,0.09000454339,0.1259654702,21728.0,22292.0,44020.0,1881 Census,,"replace kazcode=""16-2-3"" if kaza==""Söğüt Kaza""",318.0,0,Bursa,Ertugrul,Sogut Kaza,3
Yenişehir Kaza,16-2-4,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,13950.0,14304.0,878.0,862.0,760.0,833.0,,,,,,,4.0,5.0,,,,,,,,4.0,28254.0,3342.0,3342.0,1593.0,0.1182841368,0.05638139732,0.05041139241,0.1057594937,15592.0,16008.0,31600.0,1881 Census,,"replace kazcode=""16-2-4"" if kaza==""Yenişehir Kaza""",320.0,0,Bursa,Ertugrul,Yenisehir Kaza,3
Eskişehir Kaza,16-3-1,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,27470.0,28608.0,308.0,512.0,568.0,604.0,,3.0,81.0,108.0,12.0,40.0,,,,,,,,,5.0,76.0,56078.0,2184.0,2236.0,1172.0,0.03894575413,0.02089946146,0.02007021149,0.03740046237,28444.0,29951.0,58395.0,1881 Census,,"replace kazcode=""16-3-1"" if kaza==""Eskişehir Kaza""",323.0,0,Bursa,Kutahya,Eskisehir Kaza,3
Gediz Kaza,16-3-2,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,16932.0,15966.0,,,,,,,,,,,,,,,,,,,,,32898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16932.0,15966.0,32898.0,1881 Census,,"replace kazcode=""16-3-2"" if kaza==""Gediz Kaza""",325.0,0,Bursa,Afyonkarahisar,Gediz Kaza,3
Kütahya Central Kaza,16-3-3,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,58853.0,56532.0,2245.0,2157.0,1443.0,1365.0,,,432.0,341.0,,,,,,,,,,,,,115385.0,7983.0,7983.0,2808.0,0.06918576938,0.02433591888,0.02276116983,0.0647088386,62973.0,60395.0,123368.0,1881 Census,,"replace kazcode=""16-3-3"" if kaza==""Kütahya Central Kaza""",322.0,0,Bursa,Kutahya,KutahyaMerkez Kaza,3
Simav Kaza,16-3-4,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,16606.0,15930.0,15.0,60.0,2.0,7.0,,,2.0,2.0,,,,,,,,,,,,,32536.0,88.0,88.0,9.0,0.002704696336,0.0002766166708,0.0002758705248,0.002697400687,16225.0,15999.0,32624.0,1881 Census,,"replace kazcode=""16-3-4"" if kaza==""Simav Kaza""",324.0,0,Bursa,Kutahya,Simav Kaza,3
Uşak Kaza,16-3-5,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,37070.0,34535.0,725.0,707.0,340.0,320.0,,,,,,,,,,,,,,,14.0,8.0,71605.0,2092.0,2092.0,660.0,0.02921583688,0.009217233433,0.008952915802,0.02837803009,38149.0,35570.0,73719.0,1881 Census,,"replace kazcode=""16-3-5"" if kaza==""Uşak Kaza""",326.0,0,Bursa,Kutahya,Usak Kaza,3
Afyon Central Kaza,16-4-1,Afyonkarahisari (Karahisar-i Sahip) Sanjak,16-4,Bursa (Hüdavendigar) Province,16.0,38405.0,38274.0,,,2615.0,2699.0,,,,,,,,,,,,,,,,,76679.0,5314.0,5314.0,5314.0,0.06930189491,0.06930189491,0.06481041064,0.06481041064,41020.0,40973.0,81993.0,1881 Census,1.0,"replace kazcode=""16-4-1"" if kaza==""Afyon Central Kaza """,329.0,0,Bursa,Afyonkarahisar,AfyonMerkez Kaza,3
Bolvadin Kaza,16-4-2,Afyonkarahisari (Karahisar-i Sahip) Sanjak,16-4,Bursa (Hüdavendigar) Province,16.0,15779.0,16212.0,,,,,,,,,,,,,,,,,,,,,31991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15779.0,16212.0,31991.0,1881 Census,0.0,"replace kazcode=""16-4-2"" if kaza==""Bolvadin Kaza""",328.0,0,Bursa,Afyonkarahisar,Bolvadin Kaza,3
Emirdağ (Aziziye) Kaza,16-4-3,Afyonkarahisari (Karahisar-i Sahip) Sanjak,16-4,Bursa (Hüdavendigar) Province,16.0,11542.0,12022.0,3.0,6.0,23.0,35.0,,1.0,,,,,,,,,,,,,,,23564.0,68.0,68.0,58.0,0.002885757936,0.002461381769,0.002454299255,0.002877454299,11568.0,12064.0,23632.0,1881 Census,0.0,"replace kazcode=""16-4-3"" if kaza==""Emirdağ (Aziziye) Kaza""",306.0,0,Bursa,Afyonkarahisar,Emirdag Kaza,3
